GRB (Trig#),z,Bayes Ep [keV],Bayes Eiso [erg] (Sbol if no z),T_90,Energy Fluence (15-350 keV) [erg/cm^2]
GRB100621A (00425151),0.542,"67.03 (60.36,76.02)","2.79e+52 (2.60e+52,3.08e+52)",66.330 +/-1.274,"2.3823e-05 (2.3123e-05,2.4589e-05)"
GRB100615A (00424733),1.398,"65.38 (54.45,84.27)","4.07e+52 (3.59e+52,4.78e+52)",43.460 +/-1.296,"5.6938e-06 (5.3807e-06,6.0783e-06)"
GRB100513A (00421814),4.772,"81.87 (58.59,340.03)","8.01e+52 (6.48e+52,1.49e+53)",65.100 +/-4.395,"2.0753e-06 (1.9012e-06,2.2619e-06)"
GRB100425A (00420398),1.755,"23.46 (2.10,35.40)","6.21e+51 (4.54e+51,1.66e+52)",43.560 +/-1.026,"4.1091e-07 (3.5787e-07,4.7957e-07)"
GRB100424A (00420367),2.465,"54.88 (22.18,153.64)","3.05e+52 (2.52e+52,5.19e+52)",110.250 +/-5.297,"2.1252e-06 (1.9670e-06,2.3079e-06)"
GRB100418A (00419797),0.624,"36.79 (1.00,53.59)","5.21e+50 (4.72e+50,1.45e+51)",9.630 +/-0.810,"4.7770e-07 (4.1276e-07,5.5087e-07)"
GRB100316D (00416135),0.059,"27.25 (1.51,35.53)","2.29e+49 (2.21e+49,6.81e+49)",422.000 +/-9.086,"2.2302e-06 (2.0476e-06,2.4269e-06)"
GRB100316B (00416103),1.18,"28.65 (1.52,42.55)","1.18e+51 (1.09e+51,3.53e+51)",4.300 +/-0.344,"2.5124e-07 (2.2607e-07,2.7877e-07)"
GRB100302A (00414592),4.813,"42.74 (1.61,74.02)","2.25e+52 (2.02e+52,6.00e+52)",31.720 +/-3.109,"5.3188e-07 (4.6763e-07,6.0326e-07)"
GRB100219A (00412982),4.667,"122.14 (70.43,544.23)","2.78e+52 (1.96e+52,6.27e+52)",31.050 +/-2.844,"8.4459e-07 (7.0804e-07,1.0003e-06)"
GRB091208B (00378559),1.063,"70.47 (55.13,124.39)","1.39e+52 (1.17e+52,1.93e+52)",15.210 +/-1.313,"3.8255e-06 (3.4230e-06,4.3963e-06)"
GRB091127 (00377179),0.49,"27.25 (1.00,32.48)","1.41e+52 (1.33e+52,2.41e+52)",9.570 +/-0.561,"1.2386e-05 (1.1945e-05,1.2839e-05)"
GRB091109A (00375246),3.076,"448.17 (176.10,1295.59)","1.32e+53 (6.41e+52,2.26e+53)",49.680 +/-4.601,"3.6249e-06 (3.1137e-06,4.2043e-06)"
GRB091029 (00374210),2.752,"56.27 (48.27,68.65)","7.96e+52 (6.72e+52,8.98e+52)",39.960 +/-1.277,"2.8419e-06 (2.6604e-06,3.0705e-06)"
GRB091024 (00373674),1.092,"349.03 (176.80,948.53)","6.09e+52 (3.99e+52,1.13e+53)",114.730 +/-4.952,"1.3074e-05 (1.2506e-05,1.3662e-05)"
GRB091020 (00373458),1.71,"122.14 (84.75,330.41)","4.56e+52 (3.77e+52,7.76e+52)",39.000 +/-1.072,"5.1750e-06 (4.6806e-06,5.8131e-06)"
GRB091018 (00373172),0.971,"28.65 (24.17,34.08)","6.38e+51 (5.62e+51,7.83e+51)",4.440 +/-0.146,"1.4580e-06 (1.3977e-06,1.5297e-06)"
GRB090927 (00370846),1.37,"60.65 (5.54,588.00)","2.17e+51 (1.84e+51,5.70e+51)",18.360 +/-1.326,"4.9360e-07 (3.9838e-07,6.0751e-07)"
GRB090926B (00370791),1.24,"81.87 (75.38,92.35)","3.54e+52 (3.27e+52,4.06e+52)",126.360 +/-5.214,"7.7496e-06 (7.4209e-06,8.1217e-06)"
GRB090814A (00359951),0.696,"44.93 (32.22,77.39)","2.36e+51 (1.90e+51,3.68e+51)",113.160 +/-12.994,"1.2854e-06 (1.1365e-06,1.4946e-06)"
GRB090812 (00359711),2.452,"271.83 (154.38,793.89)","2.05e+53 (1.49e+53,3.85e+53)",99.760 +/-15.302,"1.1726e-05 (1.1290e-05,1.2177e-05)"
GRB090809 (00359530),2.737,"74.08 (6.03,899.88)","1.39e+52 (9.83e+51,3.77e+52)",192.920 +/-5.242,"9.2203e-07 (6.5634e-07,1.2679e-06)"
GRB090726 (00358422),2.71,"27.25 (5.04,40.63)","1.82e+52 (1.42e+52,3.87e+52)",51.030 +/-0.967,"6.5238e-07 (5.9118e-07,7.3413e-07)"
GRB090715B (00357512),3,"182.21 (100.17,709.82)","2.36e+53 (1.87e+53,3.90e+53)",267.540 +/-4.537,"8.9949e-06 (8.6441e-06,9.3581e-06)"
GRB090618 (00355083),0.54,"138.40 (126.09,159.45)","1.45e+53 (1.35e+53,1.57e+53)",115.200 +/-0.434,"1.4773e-04 (1.4508e-04,1.5050e-04)"
GRB090529 (00353540),2.625,"42.74 (26.07,74.02)","2.48e+52 (1.95e+52,3.83e+52)",79.790 +/-3.522,"1.0975e-06 (9.6997e-07,1.2885e-06)"
GRB090519 (00352648),3.85,"405.52 (182.00,1211.59)","1.48e+53 (6.76e+52,2.78e+53)",81.770 +/-6.000,"3.2540e-06 (2.8230e-06,3.7390e-06)"
GRB090516 (00352190),4.109,"134.99 (87.98,718.55)","5.18e+53 (3.94e+53,9.77e+53)",228.480 +/-9.447,"1.4903e-05 (1.3717e-05,1.6169e-05)"
GRB090510 (00351588),0.903,"366.93 (149.24,982.93)","3.21e+51 (1.63e+51,8.28e+51)",0.540 +/-0.084,"1.1042e-06 (9.6117e-07,1.2628e-06)"
GRB090429B (00350854),9.4,"47.24 (37.80,59.86)","5.39e+52 (4.53e+52,6.96e+52)",5.800 +/-0.295,"3.4026e-07 (3.1140e-07,3.7782e-07)"
GRB090426 (00350479),2.609,"44.93 (1.62,101.71)","4.20e+51 (3.80e+51,1.14e+52)",1.280 +/-0.090,"2.4990e-07 (2.1661e-07,2.8674e-07)"
